video,frame,polygon,kind,palm_px,score,presence,corners,verdict,note
005035,80,0,live,78,0.739,0.956,"167,1237 372,1014 595,1218 391,1300",wearer,
005035,242,0,live,84,0.925,0.858,"902,911 1206,793 1324,1098 1019,1215",wearer,
005035,565,0,live,79,0.861,0.953,"1026,851 1301,995 1157,1270 883,1126",wearer,
005035,565,1,live,63,0.573,0.91,"1025,886 1255,978 1164,1208 934,1117",wearer,
005035,726,0,live,59,0.949,0.895,"444,952 673,917 708,1146 479,1181",wearer,
005035,888,0,live,77,0.947,0.974,"329,1168 564,981 751,1216 516,1300",wearer,
005035,888,1,live,63,0.911,0.88,"942,1012 1110,835 1287,1002 1119,1179",wearer,
005035,1049,0,live,92,0.93,0.956,"225,1181 474,922 733,1171 484,1300",wearer,
005035,1049,1,live,63,0.413,0.786,"303,1124 491,967 648,1155 460,1300",wearer,
005035,1372,0,live,118,0.945,0.839,"142,727 596,642 682,1096 228,1181",wearer,
005035,1534,0,live,114,0.956,0.97,"635,685 1073,613 1145,1050 708,1122",wearer,
005035,1534,1,live,53,0.859,0.915,"917,1127 1063,978 1211,1124 1066,1273",wearer,
005035,1534,2,live,62,0.416,0.797,"936,1040 1165,961 1245,1190 1015,1270",wearer,
005035,1695,0,live,93,0.96,0.825,"585,833 934,735 1032,1084 684,1182",wearer,
005035,1695,1,live,62,0.852,0.95,"947,933 1177,854 1256,1084 1026,1163",wearer,
005035,2019,0,live,77,0.693,0.825,"1338,1058 1341,1300 1043,1300 1040,1061",wearer,
005035,2180,0,live,45,0.925,0.945,"520,1067 694,1073 687,1248 513,1241",wearer,
005035,2342,0,live,110,0.935,0.8,"902,1030 1315,912 1432,1300 1020,1300",wearer,
005035,2503,0,live,48,0.778,0.919,"621,1137 809,1129 818,1300 630,1300",wearer,
005035,2665,0,live,64,0.955,0.858,"888,1135 1086,980 1240,1178 1043,1300",wearer,
005035,2665,1,live,49,0.429,0.887,"956,1148 1110,1038 1221,1192 1066,1300",wearer,
005035,2826,0,live,154,0.947,0.995,"750,480 1283,758 1004,1291 472,1012",wearer,
005035,2826,1,live,152,0.866,0.987,"864,447 1335,808 974,1279 503,918",wearer,
005035,3149,0,live,66,0.87,0.971,"640,1064 896,1050 910,1300 654,1300",wearer,
005035,3149,1,live,107,0.794,0.776,"817,1134 1123,849 1409,1156 1102,1300",wearer,
005035,3149,2,live,73,0.791,0.884,"928,1118 1161,957 1322,1190 1089,1300",wearer,
005035,3311,0,live,86,0.937,0.881,"828,1143 953,834 1262,959 1137,1268",wearer,
005035,3311,1,live,60,0.821,0.86,"954,1204 931,971 1164,947 1187,1180",wearer,
005035,3472,0,live,67,0.955,0.765,"882,984 1104,847 1241,1069 1019,1206",wearer,
005035,3472,1,live,75,0.849,0.984,"348,1197 590,1035 752,1276 511,1300",wearer,
005035,3634,0,live,89,0.939,0.807,"997,902 1326,1011 1217,1300 888,1232",wearer,
005035,3957,0,live,87,0.958,0.981,"611,884 950,898 937,1237 598,1223",wearer,
005035,3957,1,live,66,0.899,0.706,"955,1099 1151,930 1320,1126 1124,1295",wearer,
