index,file,frame,px,long_px,score,share_of_frame,oracle_surface,corners,verdict
72,004310,500,92,148,0.756,0.00657,none,"1486,271 1338,271 1338,178 1486,178",none
73,004310,500,88,231,0.667,0.01509,screen,"1150,320 1134,233 1360,190 1376,276",none
74,004310,500,48,53,0.661,0.00129,none,"1036,194 1035,141 1082,140 1084,193",none
75,004310,500,105,201,0.603,0.01113,screen,"1220,544 1216,439 1417,431 1421,537",none
76,004310,562,93,94,0.794,0.00487,none,"742,383 649,376 657,282 749,290",text
77,004310,562,70,85,0.768,0.00348,none,"73,437 66,368 151,359 158,429",none
78,004310,562,77,80,0.711,0.00357,none,"1484,669 1476,592 1555,584 1563,661",none
79,004310,562,96,217,0.701,0.01008,none,"1119,363 902,363 902,266 1119,266",none
80,004310,562,75,137,0.636,0.00493,none,"1120,357 983,357 983,282 1120,282",none
81,004310,687,56,136,0.74,0.00472,none,"1076,483 940,470 946,414 1081,427",none
82,004310,687,37,76,0.694,0.00216,none,"1165,308 1092,290 1101,254 1174,272",none
83,004310,687,33,72,0.691,0.00186,none,"1341,825 1309,817 1326,747 1358,755",none
84,004310,687,48,57,0.668,0.0016,none,"593,391 587,334 634,329 640,385",none
85,004310,687,42,53,0.645,0.00198,none,"1545,1087 1507,1068 1531,1021 1568,1039",none
86,004310,687,42,54,0.621,0.00194,none,"1133,642 1116,603 1166,582 1183,621",none
87,004310,687,91,114,0.614,0.00499,none,"648,396 534,396 534,305 648,305",none
88,004310,750,114,129,0.833,0.0085,none,"393,881 279,870 292,741 405,752",none
89,004310,750,110,150,0.796,0.00788,screen,"756,1007 607,1007 607,897 756,897",none
90,004310,750,44,62,0.705,0.00132,screen,"868,518 806,518 806,474 868,474",none
91,004310,750,67,111,0.626,0.0047,screen,"1213,613 1203,547 1313,531 1323,597",none
92,004310,812,57,64,0.674,0.00175,none,"1011,816 947,816 947,759 1011,759",none
93,004310,812,78,168,0.629,0.00688,none,"1262,570 1259,492 1427,486 1430,564",none
94,004310,875,73,147,0.766,0.01014,badge,"1272,675 1139,613 1169,546 1303,608",none
95,004310,875,47,100,0.703,0.00311,sign,"644,536 637,490 736,475 743,521",none
96,004310,875,61,65,0.689,0.0019,screen,"96,473 31,473 31,412 96,412",none
97,005035,0,68,70,0.682,0.00229,none,"1536,831 1468,831 1468,761 1536,761",none
98,005035,0,62,89,0.618,0.00477,screen,"1347,638 1266,602 1291,545 1372,581",none
99,005035,265,58,118,0.717,0.00622,screen,"1120,695 1011,650 1033,597 1142,642",none
100,005035,265,53,54,0.65,0.00193,screen,"431,408 378,397 388,345 441,356",has text
101,005035,529,85,113,0.736,0.00563,none,"371,295 259,283 267,198 380,210",none
102,005035,794,51,65,0.675,0.00159,none,"119,1108 54,1108 54,1057 119,1057",none
103,005035,794,41,49,0.654,0.00097,none,"1505,392 1465,392 1465,343 1505,343",none
104,005035,794,53,54,0.63,0.00195,none,"1501,397 1449,385 1460,333 1512,345",none
105,005035,1059,27,62,0.803,0.00091,none,"787,1238 725,1235 727,1208 788,1211",none
106,005035,1059,54,66,0.803,0.00172,none,"252,560 198,560 198,494 252,494",none
107,005035,1588,120,154,0.741,0.00892,none,"589,377 434,377 434,257 589,257",none
108,005035,1588,55,78,0.643,0.00422,none,"1503,226 1440,179 1474,135 1536,182",none
109,005035,1853,95,134,0.612,0.0121,none,"1349,1098 1275,986 1355,934 1428,1046",none
110,005035,2117,98,274,0.79,0.01785,none,"108,626 96,529 367,495 379,592",none
111,005035,2117,58,131,0.742,0.00408,none,"662,649 660,591 790,585 793,643",none
112,005035,2117,102,147,0.64,0.00784,none,"263,601 259,500 406,493 410,595",none
113,005035,2117,26,35,0.606,0.00083,none,"341,567 327,545 357,527 371,549",none
